Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.30237251516844,..,..,..
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,4.12024587014984,6.36296055300016,6.07932754164423,..
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.75856517595659,2.43760882182242,3.83786802840503,..
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.41109078954248,1.62088661717004,2.04147163139546,..
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.95176821052894,2.41513094083414,7.22606307415476,..
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Andorra,ADO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,17.0797044074954,22.2715643068877,25.7542656453085,..
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.43135598182989,0.625989707046698,2.06299638545331,..
Arab League states,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.09184802655847,1.77740783806174,3.42362947609175,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.44344660770702,1.21143577838465,7.18483629443373,..
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,4.25746204335428,..,..,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.61076787290379,0.846905537459293,2.86391042204995,..
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.53089564152645,1.38191063351859,2.76666666666665,..
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.61057182799216,2.75980947008126,6.65029912708779,..
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.49123527368055,0.0385210980053727,2.90491262928479,..
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.00582004702132,-2.31770629331374,-0.606319385140896,..
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,5.59199639930633,5.6910747474621,5.54565430773474,..
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,4.10028964518463,..,..,..
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,5.59815595039851,5.54814357456511,9.46028389623105,..
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.43681956996435,0.740791812220385,2.44024851144081,..
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,0.187069385181357,0.12143464461496,3.23563659237067,..
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,-0.70502663454275,3.02272119663756,1.73353962694033,..
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.72582104307304,5.62999177986902,7.34683859830958,..
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.83954504969032,0.940742153381823,0.737383721452315,..
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,0.562782154061303,-1.05129600763481,1.98163900587616,..
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.7728644286333,1.89035916824198,7.24097765588449,..
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,3.73297621216894,3.21176803803379,8.30165975585676,..
British Virgin Islands,VGB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Brunei,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,-0.390522069165492,1.94031996607178,1.73341388450597,..
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,3.10372944796774,1.67244096855762,3.29774435299511,..
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,-3.23338933983321,1.88443993781985,3.65353287214207,..
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,-0.686772170797229,7.32110643415513,8.4045384507634,..
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.94257500833109,2.94029514263973,2.9207347759295,..
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.45280214062733,2.43760882182242,2.27185762503631,..
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.94926902411596,0.716999632307852,3.39519318527532,..
Cape Verde,CPV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.1066667429606,0.60579580839551,1.86215297494637,..
Caribbean small states,CSS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.21594945605107,0.0799778713101663,2.41070312174385,..
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.68537355266785,1.71015659523149,4.25936417542871,..
Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.66456133425443,1.67244096855762,3.8398449150015,..
Chad,TCD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,-0.971939175419353,4.46414437232863,-0.772844370359128,..
Channel Islands,CHI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.55754475703323,3.04549084804331,4.52456838259136,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.89923416358227,2.4194218945778,0.981015135544851,..
China and India,CNI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,3.52301932741443,2.52663500084712,3.49505757399453,..
Comoros,COM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Congo,COG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.20607305781519,1.79537147083111,1.71564275451263,..
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
"Congo, Dem. Rep.",ZAR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.09604635327805,0.724911478131358,1.72647755109235,..
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,-1.10686343994202,2.42500656821829,4.09195189692858,..
Croatia,HRV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,0.771820346498083,0.154811374562028,2.55450699642046,..
Cuba,CUB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Curacao,CUW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.62220783425056,..,..,..
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,0.250370996758456,-0.638422797978907,2.44608867175472,..
